moma	momb	momc	time
1	1	1	
-28	-28	-28	5
-28.1	-28.1	-28.1	5
-28.2	-28.2	-28.2	5
-28.3	-28.3	-28.3	5
-28.4	-28.4	-28.4	5
-28.5	-28.5	-28.5	5
-28.6	-28.6	-28.6	5
-28.7	-28.7	-28.7	5
-28.8	-28.8	-28.8	5
-28.9	-28.9	-28.9	5
-29	-29	-29	5
-29.1	-29.1	-29.1	5
-29.2	-29.2	-29.2	5
-29.3	-29.3	-29.3	5
-29.4	-29.4	-29.4	5
-29.5	-29.5	-29.5	5
-29.6	-29.6	-29.6	5
-29.7	-29.7	-29.7	5
-29.8	-29.8	-29.8	5
-29.9	-29.9	-29.9	5
-30	-30	-30	5
-30.1	-30.1	-30.1	5
-30.2	-30.2	-30.2	5
-30.3	-30.3	-30.3	5
-30.4	-30.4	-30.4	5
-30.5	-30.5	-30.5	5
-30.6	-30.6	-30.6	5
-30.7	-30.7	-30.7	5
-30.8	-30.8	-30.8	5
-30.9	-30.9	-30.9	5
-31	-31	-31	5
-31.1	-31.1	-31.1	5
-31.2	-31.2	-31.2	5
-31.3	-31.3	-31.3	5
-31.4	-31.4	-31.4	5
-31.5	-31.5	-31.5	5
-31.6	-31.6	-31.6	5
-31.7	-31.7	-31.7	5
-31.8	-31.8	-31.8	5
-31.9	-31.9	-31.9	5
-32	-32	-32	5
